REPORT_NUMBER,SUPPLEMENTAL_NUMBER,IYEAR,LOCAL_DATETIME,OPERATOR_ID,NAME,PIPE_FAC_NAME,ON_OFF_SHORE,ONSHORE_STATE_ABBREVIATION,ONSHORE_CITY_NAME,ONSHORE_COUNTY_NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,LOCATION_TYPE,INCIDENT_AREA_TYPE,INCIDENT_AREA_SUBTYPE,DEPTH_OF_COVER,SYSTEM_PART_INVOLVED,COULD_BE_HCA,COMMODITY_REACHED_HCA,CAUSE,CAUSE_DETAILS,COMMODITY_RELEASED_TYPE,COMMODITY_SUBTYPE,COMMODITY_DETAILS,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,PIPE_DIAMETER,PIPE_WALL_THICKNESS,PIPE_SMYS,PIPE_SPECIFICATION,INSTALLATION_YEAR,MATERIAL_INVOLVED,MATERIAL_DETAILS,RELEASE_TYPE,IGNITE_IND,EXPLODE_IND,SHUTDOWN_DUE_ACCIDENT_IND,SHUTDOWN_DATETIME,STILL_SHUTDOWN_IND,RESTART_DATETIME,NUM_PUB_EVACUATED,INJURY_IND,NUM_EMP_INJURIES,NUM_CONTR_INJURIES,NUM_ER_INJURIES,NUM_WORKER_INJURIES,NUM_GP_INJURIES,INJURE,FATALITY_IND,NUM_EMP_FATALITIES,NUM_CONTR_FATALITIES,NUM_ER_FATALITIES,NUM_WORKER_FATALITIES,NUM_GP_FATALITIES,FATAL,WILDLIFE_IMPACT_IND,FISH_AQUATIC_IMPACT_IND,BIRDS_IMPACT_IND,TERRESTRIAL_IMPACT_IND,SOIL_CONTAMINATION,LONG_TERM_ASSESSMENT,REMEDIATION_IND,SURFACE_WATER_REMED_IND,GROUNDWATER_REMED_IND,SOIL_REMED_IND,VEGETATION_REMED_IND,WILDLIFE_REMED_IND,WATER_CONTAM_IND,OCEAN_SEAWATER_IND,SURFACE_CONTAM_IND,GROUNDWATER_CONTAM_IND,DRINKING_WATER_CONTAM_IND,PRIVATE_WELL_CONTAM_IND,PUBLIC_WATER_CONTAM_IND,EST_COST_OPER_PAID,EST_COST_GAS_RELEASED,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,EST_COST_ENVIRONMENTAL,EST_COST_OTHER,INCIDENT_IDENTIFIED_DATETIME,ON_SITE_DATETIME
20210078,35096,2021,2/20/2021 18:30,39785,"""""""""""""""""""""""""""""""""""""""""""""""""EPIC CONSOLIDATED OPERATIONS, LLC""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""LINE 109 ROBSTOWN TO DOCK, 30""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",ONSHORE,TX,Not Within a Municipality,NUECES,27.8272,-97.6163472,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,OTHER,,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,NO,NO,NATURAL FORCE DAMAGE,TEMPERATURE,CRUDE OIL,,,0.32,NA,0,NA,,,,2019,MATERIAL OTHER THAN CARBON STEEL,STAINLESS STEEL,LEAK,NO,NO,NO,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,NO,NO,NO,,,,,,NO,,,,NA,NA,NA,0,20,300,0,500,0,3/18/2021 18:30,3/18/2021 18:30
20210082,35436,2021,2/20/2021 18:00,31454,"""""""""""""""""""""""""""""""""""""""""""""""""NUSTAR LOGISTICS, L.P.""""""""""""""""""""""""""""""""""""""""""""""""",32P  WASSON TO ARDMORE PIPELINE,ONSHORE,OK,Not Within a Municipality,CARTER,34.2022,-97.34698,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,NO,NO,EQUIPMENT FAILURE,DEFECTIVE OR LOOSE TUBING OR FITTING,CRUDE OIL,,,4,NA,4,NA,,,,UNKNOWN,CARBON STEEL,,LEAK,NO,NO,NO,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,NO,NO,NO,,,,,,NO,,,,NA,NA,NA,0,0,211,387,0,1000,2/20/2021 18:00,2/20/2021 18:00
20210081,35961,2021,2/20/2021 11:30,18718,SUNOCO PIPELINE L.P.,23002 HAWLEY TO DIXON,ONSHORE,TX,ANSON,JONES,32.73665,-99.82082,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,36,"""""""""""""""""""""""""""""""""""""""""""""""""ONSHORE PIPELINE, INCLUDING VALVE SITES""""""""""""""""""""""""""""""""""""""""""""""""",YES,NO,MATERIAL FAILURE OF PIPE OR WELD,ORIGINAL MANUFACTURING-RELATED (NOT GIRTH WELD OR OTHER WELDS FORMED IN THE FIELD),CRUDE OIL,,,195,NA,195,10.75,0.365,30000,API 5L GRADE A,1927,CARBON STEEL,,LEAK,NO,NO,YES,2/20/2021 12:07,,2/23/2021 16:30,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,YES,NO,YES,,,YES,,,NO,,,,NA,NA,NA,0,11310,16000,5000,178000,0,2/20/2021 12:07,2/20/2021 12:07
20210066,35640,2021,2/20/2021 10:50,30782,HARVEST MIDSTREAM COMPANY,FOLWERTON STATION,ONSHORE,TX,FOWLERTON,LASALLE,28.501742,-98.855826,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,NO,NO,EQUIPMENT FAILURE,DEFECTIVE OR LOOSE TUBING OR FITTING,CRUDE OIL,,,15,NA,15,NA,,,,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL,STAINLESS STEEL TUBING,LEAK,NO,NO,YES,2/20/2021 10:42,,2/20/2021 14:26,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,YES,YES,YES,,,YES,,,NO,,,,NA,NA,NA,0,750,100,9000,15000,0,2/20/2021 10:42,2/20/2021 10:42
20210086,35052,2021,2/20/2021 10:00,22610,"""""""""""""""""""""""""""""""""""""""""""""""""MAGELLAN PIPELINE COMPANY, LP""""""""""""""""""""""""""""""""""""""""""""""""",PLANTERSVILLE STATION,ONSHORE,TX,PLANTERSVILLE,GRIMES,30.350864,-95.899305,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,NO,NO,NATURAL FORCE DAMAGE,TEMPERATURE,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"""""""""""""""""""""""""""""""""""""""""""""""""DIESEL, FUEL OIL, KEROSENE, JET FUEL""""""""""""""""""""""""""""""""""""""""""""""""",,0.88,NA,0.88,NA,,,,2021,CARBON STEEL,,LEAK,NO,NO,NO,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,YES,NO,NO,,,,,,NO,,,,NA,NA,NA,0,1050,100,68960,11500,0,2/20/2021 10:00,2/20/2021 10:00
20210076,35763,2021,2/20/2021 7:00,39785,"""""""""""""""""""""""""""""""""""""""""""""""""EPIC CONSOLIDATED OPERATIONS, LLC""""""""""""""""""""""""""""""""""""""""""""""""",LINE 203 BENEDUM TO ROBSTOWN,ONSHORE,TX,Not Within a Municipality,KINNEY COUNTY,29.1754167,-100.330638,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,72,"""""""""""""""""""""""""""""""""""""""""""""""""ONSHORE PIPELINE, INCLUDING VALVE SITES""""""""""""""""""""""""""""""""""""""""""""""""",NO,NO,MATERIAL FAILURE OF PIPE OR WELD,"""""""""""""""""""""""""""""""""""""""""""""""""DESIGN-, CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED""""""""""""""""""""""""""""""""""""""""""""""""",HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,OTHER HVL,NGL,5628,2014,186,24,0.375,70000,API 5L,2019,CARBON STEEL,,LEAK,NO,NO,YES,2/20/2021 7:00,,3/8/21 15:33,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,NO,NO,NO,,,,,,NO,,,,NA,NA,NA,0,238592,1458097,0,40000,0,2/20/2021 7:00,2/20/2021 8:00
20210084,36459,2021,2/20/2021 5:00,4805,EXPLORER PIPELINE CO,PORT ARHTUR TANK FARM,ONSHORE,TX,PORT ARTHUR,JEFFERSON,29.900874,-94.005656,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,YES,YES,NATURAL FORCE DAMAGE,TEMPERATURE,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"""""""""""""""""""""""""""""""""""""""""""""""""DIESEL, FUEL OIL, KEROSENE, JET FUEL""""""""""""""""""""""""""""""""""""""""""""""""",,0.6,NA,0.6,NA,,,,2012,CARBON STEEL,,LEAK,NO,,,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,YES,NO,NO,,,,,,NO,,,,NA,NA,NA,0,50,5000,25000,6500,0,2/20/2021 5:00,2/20/2021 5:00
20210067,34994,2021,2/19/2021 17:50,30829,ENTERPRISE CRUDE PIPELINE LLC,APPELT MANIFOLD 1,ONSHORE,TX,HOUSTON,HARRIS,29.7594,-95.1425,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,YES,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,CRUDE OIL,,,1,NA,1,NA,,,,2014,CARBON STEEL,,LEAK,NO,NO,NO,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,NO,NO,NO,,,,,,NO,,,,NA,NA,NA,0,66,7000,0,0,0,2/19/2021 17:50,2/19/2021 17:50
20210096,35333,2021,2/19/2021 16:01,39887,"""""""""""""""""""""""""""""""""""""""""""""""""TEXOMA CRUDE OIL PIPELINE CO., LLC""""""""""""""""""""""""""""""""""""""""""""""""",HEALDTON STATION,ONSHORE,OK,HEALDTON,CARTER,34.237801,-97.493738,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,UNDER SOIL,12,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,YES,YES,CORROSION FAILURE,INTERNAL CORROSION,CRUDE OIL,,,50,NA,50,4.5,UNKNOWN,UNKNOWN,X42,UNKNOWN,CARBON STEEL,,LEAK,NO,NO,YES,2/19/2021 16:01,,2/22/2021 16:12,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,YES,NO,YES,,,YES,,,NO,,,,NA,NA,NA,0,300,12500,25000,20000,0,2/19/2021 16:40,2/19/2021 16:40
20210083,35252,2021,2/19/2021 14:01,30829,ENTERPRISE CRUDE PIPELINE LLC,FINNEGAN STATION,ONSHORE,TX,MONT BELVIEU,CHAMBERS,29.82619,-94.88545,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE EQUIPMENT AND PIPING ASSOCIATED WITH BELOWGROUND STORAGE,YES,NO,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,CRUDE OIL,,,2,NA,2,NA,,,,2014,MATERIAL OTHER THAN CARBON STEEL,STAINLESS STEEL,LEAK,NO,NO,NO,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,NO,NO,NO,,,,,,NO,,,,NA,NA,NA,0,120,0,12500,6000,0,2/19/2021 14:01,2/19/2021 15:25
20210075,35026,2021,2/19/2021 9:30,32080,"""""""""""""""""""""""""""""""""""""""""""""""""CCPS TRANSPORTATION, LLC""""""""""""""""""""""""""""""""""""""""""""""""",LINE 55 FLANAGAN TERMINAL,ONSHORE,IL,FLANAGAN,LIVINGSTON,40.943094,-88.644964,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,UNDER SOIL,14,"""""""""""""""""""""""""""""""""""""""""""""""""ONSHORE PIPELINE, INCLUDING VALVE SITES""""""""""""""""""""""""""""""""""""""""""""""""",YES,YES,NATURAL FORCE DAMAGE,TEMPERATURE,CRUDE OIL,,,0.95,NA,0.95,NA,,,,UNKNOWN,CARBON STEEL,,LEAK,NO,NO,YES,2/19/2021 9:31,,2/19/2021 19:20,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,YES,NO,NO,,,,,,NO,,,,NA,NA,NA,0,63,6500,36160,247000,0,2/19/2021 9:30,2/19/2021 9:30
20210056,34971,2021,2/18/2021 16:00,31174,"""""""""""""""""""""""""""""""""""""""""""""""""SHELL PIPELINE CO., L.P.""""""""""""""""""""""""""""""""""""""""""""""""",COLEXT TANK FARM,ONSHORE,TX,PASADENA,HARRIS,29.716064,-95.187128,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,"""""""""""""""""""""""""""""""""""""""""""""""""ONSHORE BREAKOUT TANK OR STORAGE VESSEL, INCLUDING ATTACHED APPURTENANCES""""""""""""""""""""""""""""""""""""""""""""""""",YES,YES,NATURAL FORCE DAMAGE,TEMPERATURE,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"""""""""""""""""""""""""""""""""""""""""""""""""DIESEL, FUEL OIL, KEROSENE, JET FUEL""""""""""""""""""""""""""""""""""""""""""""""""",,0.5,NA,0.5,NA,,,,UNKNOWN,CARBON STEEL,,LEAK,NO,NO,NO,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,NO,NO,NO,,,,,,NO,,,,NA,NA,NA,0,60,14000,0,0,0,2/18/2021 16:00,2/18/2021 16:00
20210074,35025,2021,2/18/2021 12:40,31580,"""""""""""""""""""""""""""""""""""""""""""""""""MAGELLAN TERMINALS HOLDINGS, LP""""""""""""""""""""""""""""""""""""""""""""""""",GALENA PARK,ONSHORE,TX,GALENA PARK,HARRIS,29.7460223,-95.20283238,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,YES,YES,NATURAL FORCE DAMAGE,TEMPERATURE,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),,0.6,NA,0.6,NA,,,,UNKNOWN,CARBON STEEL,,LEAK,NO,NO,NO,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,YES,NO,NO,,,,,,NO,,,,NA,NA,NA,0,25,100,250,0,0,2/18/2021 12:40,2/18/2021 12:41
20210058,35659,2021,2/18/2021 12:06,2552,COLONIAL PIPELINE CO,BATON ROUGE TANK FARM,ONSHORE,LA,JACKSON,EAST FELICIANA,30.711073,-91.281434,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,YES,NO,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,GASOLINE (NON-ETHANOL),,1.7,NA,1.7,NA,,,,2005,MATERIAL OTHER THAN CARBON STEEL,TUBING TEE JUNCTION CONNECTION FAILURE,LEAK,NO,NO,YES,2/18/2021 12:07,,2/18/2021 18:40,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,YES,NO,YES,,,YES,,,NO,,,,NA,NA,NA,0,175,50,25000,525000,0,2/18/2021 12:06,2/18/2021 12:06
20210079,35033,2021,2/18/2021 11:52,31684,PHILLIPS 66 PIPELINE LLC,PHILLIPS 66 BEAUMONT TERMINAL,ONSHORE,TX,NEDERLAND,JEFFERSON,29.999096,-93.983862,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,"""""""""""""""""""""""""""""""""""""""""""""""""ONSHORE BREAKOUT TANK OR STORAGE VESSEL, INCLUDING ATTACHED APPURTENANCES""""""""""""""""""""""""""""""""""""""""""""""""",YES,YES,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,CRUDE OIL,,,0.12,NA,0.12,NA,,,,2019,MATERIAL OTHER THAN CARBON STEEL,SILICON CARBIDE,LEAK,NO,NO,NO,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,YES,NO,NO,,,,,,NO,,,,NA,NA,NA,0,50,5500,4500,4000,0,2/18/2021 11:52,2/18/2021 11:52
20210068,34996,2021,2/18/2021 9:34,32688,WEST COAST TERMINAL PIPELINE  (WCTP),WILLBRIDGE TERMINAL,ONSHORE,OR,PORTLAND,MULTNOMAH,45.56545,-122.743195,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,YES,YES,NATURAL FORCE DAMAGE,TEMPERATURE,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"""""""""""""""""""""""""""""""""""""""""""""""""DIESEL, FUEL OIL, KEROSENE, JET FUEL""""""""""""""""""""""""""""""""""""""""""""""""",,0.4,NA,0.4,NA,,,,2018,CARBON STEEL,,LEAK,NO,NO,NO,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,YES,NO,NO,,,,,,NO,,,,NA,NA,NA,0,55,500,300,0,0,2/18/2021 9:34,2/18/2021 9:34
20210069,35061,2021,2/18/2021 0:31,2552,COLONIAL PIPELINE CO,HOUSTON STATION,ONSHORE,TX,PASADENA,HARRIS,29.71901833,-95.17919497,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,YES,YES,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"""""""""""""""""""""""""""""""""""""""""""""""""DIESEL, FUEL OIL, KEROSENE, JET FUEL""""""""""""""""""""""""""""""""""""""""""""""""",,16,NA,16,NA,,,,2008,MATERIAL OTHER THAN CARBON STEEL,GASKET MATERIAL,LEAK,NO,NO,NO,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,YES,NO,NO,,,,,,NO,,,,NA,NA,NA,0,1151,525,19243,28733,0,2/18/2021 0:31,2/18/2021 0:31
20210071,35378,2021,2/16/2021 23:15,30829,ENTERPRISE CRUDE PIPELINE LLC,PASADENA DELIVERY STATION,ONSHORE,TX,PASADENA,HARRIS,29.7068,-95.2233,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,UNDER SOIL,30,"""""""""""""""""""""""""""""""""""""""""""""""""ONSHORE PIPELINE, INCLUDING VALVE SITES""""""""""""""""""""""""""""""""""""""""""""""""",YES,NO,CORROSION FAILURE,INTERNAL CORROSION,CRUDE OIL,,,0.2,NA,0.2,8,0.322,52000,API-5L,2015,CARBON STEEL,,LEAK,NO,NO,NO,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,NO,NO,NO,,,,,,NO,,,,NA,NA,NA,0,0,13400,43000,0,0,2/16/2021 23:15,2/17/2021 0:30
20210072,35014,2021,2/16/2021 15:30,30829,ENTERPRISE CRUDE PIPELINE LLC,ECHO TERMINAL,ONSHORE,TX,HOUSTON,HARRIS,29.609819,-95.183176,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,"""""""""""""""""""""""""""""""""""""""""""""""""ONSHORE PIPELINE, INCLUDING VALVE SITES""""""""""""""""""""""""""""""""""""""""""""""""",YES,NO,NATURAL FORCE DAMAGE,TEMPERATURE,CRUDE OIL,,,3,NA,3,NA,,,,2013,CARBON STEEL,,LEAK,NO,NO,NO,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,NO,NO,NO,,,,,,NO,,,,NA,NA,NA,0,0,0,30000,10000,0,2/16/2021 15:30,2/16/2021 15:30
20210077,35029,2021,2/16/2021 15:20,39183,"""""""""""""""""""""""""""""""""""""""""""""""""MEDALLION OPERATING COMPANY, LLC""""""""""""""""""""""""""""""""""""""""""""""""",SANTA RITA STATION,ONSHORE,TX,Not Within a Municipality,REAGAN,31.359555,-101.512208,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,NO,NO,NATURAL FORCE DAMAGE,TEMPERATURE,CRUDE OIL,,,2.2,NA,2.2,NA,,,,2019,MATERIAL OTHER THAN CARBON STEEL,FLEXIBLE GRAPHITE SPIRAL WOUND GASKET,LEAK,NO,NO,NO,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,YES,NO,YES,,,YES,,,NO,,,,NA,NA,NA,0,120,150,100,250,0,2/16/2021 14:30,2/16/2021 15:15
20210051,34967,2021,2/15/2021 20:31,39138,"""""""""""""""""""""""""""""""""""""""""""""""""BOARDWALK LOUISIANA MIDSTREAM, LLC""""""""""""""""""""""""""""""""""""""""""""""""",CHOCTAW TERMINAL,ONSHORE,LA,Not Within a Municipality,IBERVILLE,30.31801,-91.30951,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,NO,NO,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,OTHER HVL,ETHYLENE,153.4,15,0,NA,,,,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL,STAINLESS STEEL TUBING,LEAK,NO,NO,YES,2/15/2021 20:34,,2/16/2021 1:00,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,NO,NO,NO,,,,,,NO,,,,NA,NA,NA,0,7078,1000,0,0,0,2/15/2021 20:31,2/15/2021 20:31
20210073,35341,2021,2/15/2021 3:17,31454,"""""""""""""""""""""""""""""""""""""""""""""""""NUSTAR LOGISTICS, L.P.""""""""""""""""""""""""""""""""""""""""""""""""",16P WICHITA FALLS TO MCKEE 14 INCH,ONSHORE,TX,Not Within a Municipality,GRAY,35.25701,-100.92478,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,NO,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,CRUDE OIL,,,4.75,NA,4.75,NA,,,,1992,MATERIAL OTHER THAN CARBON STEEL,PUMP SEAL,LEAK,NO,NO,YES,2/15/2021 3:18,,3/23/2021 14:47,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,YES,NO,NO,,,,,,NO,,,,NA,NA,NA,0,282,48167,0,17742,0,2/15/2021 3:17,2/15/2021 8:13
20210059,35272,2021,2/13/2021 12:02,31618,ENTERPRISE PRODUCTS OPERATING LLC,CALVERT CITY,ONSHORE,KY,CALVERT CITY,MARSHALL,37.0505,-88.328,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,YES,YES,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),,20.6,0,0,NA,,,,2014,CARBON STEEL,,LEAK,NO,NO,NO,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,NO,NO,NO,,,,,,NO,,,,NA,NA,NA,0,2500,1070,0,0,0,2/13/2021 12:25,2/13/2021 12:15
20210070,35434,2021,2/13/2021 4:31,40204,"""""""""""""""""""""""""""""""""""""""""""""""""SCM OPERATIONS, LLC""""""""""""""""""""""""""""""""""""""""""""""""",BRANDYWINE METER STATION,ONSHORE,TX,Not Within a Municipality,REEVES,31.049119,-103.730864,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,NO,NO,INCORRECT OPERATION,"""""""""""""""""""""""""""""""""""""""""""""""""VALVE LEFT OR PLACED IN WRONG POSITION, BUT NOT RESULTING IN A TANK, VESSEL, OR SUMP/SEPARATOR OVERFLOW OR FACILITY OVERPRESSURE""""""""""""""""""""""""""""""""""""""""""""""""",HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),,0.8,0,0,NA,,,,2019,CARBON STEEL,,LEAK,NO,NO,NO,,,,0,NO,NA,NA,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,0,NO,,,,NO,NO,NO,,,,,,NO,,,,NA,NA,NA,0,1147,0,0,1128,0,2/13/2021 4:31,2/13/2021 9:20
